순번,대분류,상품명,대여횟수,제조사,구성품,장난감나라 위치
172,"조작,탐색",팝업 버디,16,비키즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
173,"조작,탐색",팝업 버디,14,비키즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
174,신체,엑티비티센터 3in1 멀티쏘서,20,스킵합,"본체, 시트, 발판, 장난감6개","서울특별시 용산구 백범로 329, 1층"
175,신체,엑티비티센터 3in1 멀티쏘서,19,스킵합,"본체, 시트, 발판, 장난감6개","서울특별시 용산구 백범로 329, 1층"
176,음률,고슴도치 아코디언,13,스킵합,본체1개,"서울특별시 용산구 백범로 329, 1층"
177,음률,고슴도치 아코디언,14,스킵합,본체1개,"서울특별시 용산구 백범로 329, 1층"
178,역할놀이,컵케이크 만들기 놀이,10,스킵합,"스탠드, 케이크4개, 데코4개, 컵4개, 토퍼4개, 주머니","서울특별시 용산구 백범로 329, 1층"
179,역할놀이,컵케이크 만들기 놀이,8,스킵합,"스탠드, 케이크4개, 데코4개, 컵4개, 토퍼4개, 주머니","서울특별시 용산구 백범로 329, 1층"
180,"조작,탐색",크롱 뿡뿡 응가놀이,19,아이코닉스,"크롱, 변기, 응가3개, 팬티, 놀이카드4개, 놀이박스","서울특별시 용산구 백범로 329, 1층"
181,"조작,탐색",크롱 뿡뿡 응가놀이,17,아이코닉스,"크롱, 변기, 응가3개, 팬티, 놀이카드4개, 놀이박스","서울특별시 용산구 백범로 329, 1층"
182,"조작,탐색",뽀로로EQ 테마파크,18,아이코닉스,"본체, 관람차, 의자3개, 공3개, 간판3개","서울특별시 용산구 백범로 329, 1층"
183,"조작,탐색",뽀로로EQ 테마파크,19,아이코닉스,"본체, 관람차, 의자3개, 공3개, 간판3개","서울특별시 용산구 백범로 329, 1층"
184,"조작,탐색",뽀로로 코딩 샌드위치,19,아이코닉스,"본체, 레시피북, 배달박스2개, 쟁반, 빵2개, 소스3개, 내용물3개","서울특별시 용산구 백범로 329, 1층"
185,"조작,탐색",뽀로로 코딩 샌드위치,20,아이코닉스,"본체, 레시피북, 배달박스2개, 쟁반, 빵2개, 소스3개, 내용물3개","서울특별시 용산구 백범로 329, 1층"
186,신체,밸런스 핸들카,22,야야,본체1개,"서울특별시 용산구 백범로 329, 1층"
187,신체,밸런스 핸들카,18,야야,본체1개,"서울특별시 용산구 백범로 329, 1층"
188,역할놀이,아기하마 약국놀이,22,영실업,"약국, 판넬, 카드6장, 보관함, 봉투, 약통2개, 약6개, 알약2개, 체온계, 통2개","서울특별시 용산구 백범로 329, 1층"
189,역할놀이,아기하마 약국놀이,19,영실업,"약국, 판넬, 카드6장, 보관함, 봉투, 약통2개, 약6개, 알약2개, 체온계, 통2개","서울특별시 용산구 백범로 329, 1층"
190,역할놀이,말하는 핫도그 트럭,23,영실업,"본체, 속재료2개, 반죽3개, 박스3개","서울특별시 용산구 백범로 329, 1층"
191,역할놀이,말하는 핫도그 트럭,19,영실업,"본체, 속재료2개, 반죽3개, 박스3개","서울특별시 용산구 백범로 329, 1층"
192,역할놀이,콩콩이 아기바구니,15,영실업,"콩콩이, 프레임, 커버","서울특별시 용산구 백범로 329, 1층"
193,역할놀이,콩콩이 아기바구니,16,영실업,"콩콩이, 프레임, 커버","서울특별시 용산구 백범로 329, 1층"
